last_name, first_name,player_id,year,meatball_swing_percent,meatball_percent,
Mushinski, Parker,656786,2022,55.6,8.1,
Nelson, Nick,656793,2022,82.3,6.6,
Newcomb, Sean,656794,2022,79.1,7.8,
Norwood, James,656803,2022,85,5.4,
Ortiz, Luis,656814,2022,80,8.5,
Overton, Connor,656818,2022,69.7,7,
Peterson, David,656849,2022,75.7,5.7,
Rasmussen, Drew,656876,2022,78.1,6.9,
Reid-Foley, Sean,656887,2022,54.5,5.6,
Scott, Tanner,656945,2022,71.4,6,
Sheffield, Justus,656954,2022,94.1,9.5,
Smeltzer, Devin,656970,2022,59.3,7.6,
Sousa, Bennett,656986,2022,80,6.8,
Steele, Justin,657006,2022,81.8,7.6,
Swanson, Erik,657024,2022,80.5,8.8,
Thompson, Ryan,657044,2022,69.6,8.2,
Toussaint, Touki,657053,2022,64.7,3.9,
Watkins, Spenser,657093,2022,76.7,7.1,
Wright, Kyle,657140,2022,70.9,8.2,
Merryweather, Julian,657240,2022,89.7,7,
Otto Jr., Glenn,657248,2022,78,7.9,
Strzelecki, Peter,657265,2022,65.8,6.3,
Uelmen, Erich,657272,2022,69.2,5.6,
Webb, Logan,657277,2022,70.7,6.3,
Schmidt, Clarke,657376,2022,79.1,9.3,
Gage, Matt,657424,2022,88.9,4.8,
Baumann, Mike,657508,2022,80.8,9,
Ferguson, Caleb,657571,2022,77.1,8.3,
Garrett, Reed,657585,2022,68.8,8.2,
Hill, Tim,657612,2022,76.2,8.5,
Koenig, Jared,657649,2022,78.7,7.2,
Ryan, Joe,657746,2022,80.9,7.7,
Seabold, Connor,657756,2022,84,6.8,
Stout, Eric,657770,2022,71.9,7.1,
Medina, Adonis,658431,2022,81.1,8.9,
Fernandez, Junior,658551,2022,67.9,8.4,
Espinoza, Anderson,659262,2022,87.5,6.4,
Lamet, Dinelson,659275,2022,90.2,8.7,
Ohtani, Shohei,660271,2022,79.4,9.4,
Reyes, Denyi,660593,2022,100,5.1,
Ynoa, Huascar,660623,2022,93.3,10.2,
Rodriguez, Elvin,660730,2022,84.6,7.3,
Suarez, Jose,660761,2022,78.7,7.9,
De Los Santos, Yerry,660787,2022,71,6.9,
Graterol, Brusdar,660813,2022,86.8,10.1,
Bazardo, Eduard,660825,2022,63.6,4.7,
De Los Santos, Enyel,660853,2022,81.9,8.5,
Perez, Francisco,660906,2022,88.2,8.3,
Lopez, Yoan,661255,2022,66.7,4.6,
Gutierrez, Vladimir,661269,2022,90,7.3,
Martinez, Adrian,661309,2022,73.2,7,
Ortega, Oliver,661383,2022,78.6,7.4,
Duran, Jhoan,661395,2022,79.8,9.7,
Clase, Emmanuel,661403,2022,87.9,7.2,
Llovera, Mauricio,661440,2022,60,6.5,
Martinez, Seth,661527,2022,83.3,6.1,
Munoz, Andres,662253,2022,75,7.4,
Suarez, Robert,663158,2022,67.7,7.7,
Feltner, Ryan,663372,2022,78.9,7.6,
Szapucki, Thomas,663378,2022,84.6,8.9,
Smith, Chad,663385,2022,78.9,5.6,
Thornton, Trent,663423,2022,72.7,8.3,
Rainey, Tanner,663432,2022,87,8.8,
Martin, Davis,663436,2022,76.6,9,
Pilkington, Konnor,663455,2022,88.9,5.2,
Bubic, Kris,663460,2022,77.4,8.8,
Allard, Kolby,663465,2022,85.7,9.4,
McKenzie, Triston,663474,2022,78.7,8.5,
Sands, Cole,663485,2022,83.7,8.1,
Allen, Logan,663531,2022,70.6,10.4,
Hjelle, Sean,663546,2022,78.8,11,
Mize, Casey,663554,2022,82.4,10.1,
McClanahan, Shane,663556,2022,75.3,7.2,
Moran, Jovani,663558,2022,86.4,6.5,
Falter, Bailey,663559,2022,75.9,6.4,
Santillan, Tony,663574,2022,88,6.1,
Small, Ethan,663629,2022,90.9,8.3,
Lynch, Daniel,663738,2022,76.5,8.4,
Morris, Cody,663752,2022,83.8,9.2,
Knehr, Reiss,663753,2022,69.2,5.4,
Woodford, Jake,663765,2022,83.7,7,
Hoeing, Bryan,663773,2022,73.7,7.1,
Sandoval, Patrick,663776,2022,73.7,7.1,
Kowar, Jackson,663804,2022,76.2,6.8,
Hicks, Jordan,663855,2022,70.5,7.4,
Singer, Brady,663903,2022,65,8.4,
Holton, Tyler,663947,2022,75,7.5,
Paddack, Chris,663978,2022,67.6,9.3,
Stephan, Trevor,663986,2022,72.6,6,
Vespi, Nick,663989,2022,64,5.6,
Lakins Sr., Travis,664042,2022,81.8,5.3,
Stashak, Cody,664054,2022,73.3,6.6,
Gonsolin, Tony,664062,2022,73.7,8.5,
Cleavinger, Garrett,664076,2022,61.9,6.1,
Poppen, Sean,664092,2022,62.8,9.8,
Effross, Scott,664123,2022,64.9,9.1,
Fairbanks, Pete,664126,2022,72.7,9.4,
Gibaut, Ian,664139,2022,79.5,6.3,
Brubaker, JT,664141,2022,74.5,6.4,
Swarmer, Matt,664161,2022,76.9,5.9,
Clarke, Taylor,664199,2022,92.9,6.5,
Cyr, Tyler,664202,2022,70.6,7.6,
Maton III, Phil,664208,2022,85.3,6.9,
Valdez, Framber,664285,2022,74,9.2,
Moreta, Dauri,664294,2022,70.5,7.2,
Javier, Cristian,664299,2022,78.8,7.9,
Yajure, Miguel,664337,2022,76.7,6.4,
Urquidy, Jose,664353,2022,77.2,7.7,
Diaz, Alexis,664747,2022,77.5,6.7,
Cousins, Jake,664776,2022,35.7,5.2,
Young, Danny,664849,2022,50,7.9,
Helsley, Ryan,664854,2022,72.2,8.2,
Dowdy, Kyle,664871,2022,83.3,6.3,
Lawrence, Justin,664875,2022,68.8,8.4,
Naile, James,664942,2022,66.7,9.5,
Vieaux, Cam,664944,2022,85.7,10.1,
